resc,labelDe,labelEn
"http://dbpedia.org/resource/Brody,_Nowy_Tomyśl_County",Brody (Nowy Tomyśl),Brody
"http://dbpedia.org/resource/Brody,_Starachowice_County",Brody (Powiat Starachowicki),Brody
"http://dbpedia.org/resource/Brody,_Żary_County",Brody (Lebus),Brody
http://dbpedia.org/resource/Brza_Palanka,Brza Palanka,Brza Palanka
http://dbpedia.org/resource/Brza_Palanka,Brza Palanka,Брза Паланка
"http://dbpedia.org/resource/Cabannes,_Bouches-du-Rhône",Cabannes,Cabannes
http://dbpedia.org/resource/Cagayan_River_(Mindanao),Cagayan (Mindanao),Cagayan de Oro River
http://dbpedia.org/resource/Carandiru_Penitentiary,Carandiru,Carandiru Penitentiary
http://dbpedia.org/resource/Carandiru_Penitentiary,Carandiru,Casa de Detenção de São Paulo
http://dbpedia.org/resource/Castelvecchio_di_Rocca_Barbena,Castelvecchio di Rocca Barbena,Castelvecchio di Rocca Barbena
http://dbpedia.org/resource/Castelvecchio_di_Rocca_Barbena,Castelvecchio di Rocca Barbena,Comune di Castelvecchio di Rocca Barbena
http://dbpedia.org/resource/Cebu_City,Cebu City,Cebu City
http://dbpedia.org/resource/Cebu_City,Cebu City,City of Cebu
http://dbpedia.org/resource/Cebu_City,Cebu City,Dakbayan sa Sugbo
http://dbpedia.org/resource/Cebu_City,Cebu City,Lungsod ng Cebu
"http://dbpedia.org/resource/Cervino,_Campania",Cervino (Kampanien),Cervino
"http://dbpedia.org/resource/Cervino,_Campania",Cervino (Kampanien),Comune di Cervino
http://dbpedia.org/resource/Chua_Cocani,Chua Cocani,Chua Cocani
http://dbpedia.org/resource/Cienfuegos_Province,Provinz Cienfuegos,Cienfuegos Province
http://dbpedia.org/resource/County_of_Boulogne,Grafschaft Boulogne,Boulogne
http://dbpedia.org/resource/County_of_Boulogne,Grafschaft Boulogne,County of Boulogne
http://dbpedia.org/resource/County_of_Boulogne,Grafschaft Boulogne,Comté de Boulogne
"http://dbpedia.org/resource/Cromac,_Haute-Vienne",Cromac,Cromac
http://dbpedia.org/resource/Cross_Lake_(Manitoba),Cross Lake,Cross Lake
http://dbpedia.org/resource/Dali_County,Dali (Weinan),Dali County
"http://dbpedia.org/resource/Damery,_Marne",Damery (Marne),Damery
"http://dbpedia.org/resource/Damery,_Somme",Damery (Somme),Damery
"http://dbpedia.org/resource/Dommartin,_Ain",Dommartin (Ain),Dommartin
"http://dbpedia.org/resource/Dommartin,_Doubs",Dommartin (Doubs),Dommartin
"http://dbpedia.org/resource/Dommartin,_Rhône",Dommartin (Rhône),Dommartin
"http://dbpedia.org/resource/Dommartin,_Somme",Dommartin (Somme),Dommartin
http://dbpedia.org/resource/Dommartin-aux-Bois,Dommartin-aux-Bois,Dommartin-aux-Bois
http://dbpedia.org/resource/Dommartin-lès-Cuiseaux,Dommartin-lès-Cuiseaux,Dommartin-lès-Cuiseaux
http://dbpedia.org/resource/Dommartin-lès-Remiremont,Dommartin-lès-Remiremont,Dommartin-lès-Remiremont
http://dbpedia.org/resource/Dommartin-lès-Toul,Dommartin-lès-Toul,Dommartin-lès-Toul
http://dbpedia.org/resource/Dommartin-lès-Vallois,Dommartin-lès-Vallois,Dommartin-lès-Vallois
http://dbpedia.org/resource/Dutch_East_Indies,Niederländisch-Indien,Dutch East Indies
http://dbpedia.org/resource/Dutch_East_Indies,Niederländisch-Indien,Hindia-Belanda
http://dbpedia.org/resource/Dutch_East_Indies,Niederländisch-Indien,Nederlands-Indië
http://dbpedia.org/resource/Dutch_East_Indies,Niederländisch-Indien,Netherlands East-Indies
http://dbpedia.org/resource/Dutch_East_Indies,Niederländisch-Indien,Nederlandsch-Indië
http://dbpedia.org/resource/Emirates_Crown,Emirates Crown,Emirates Crown
http://dbpedia.org/resource/Firehawk_(roller_coaster),Firehawk (Kings Island),Firehawk
http://dbpedia.org/resource/Hall_Island_(Arctic),Hall-Insel (Franz-Josef-Land),Hall Island
"http://dbpedia.org/resource/Hochdorf,_Biberach",Hochdorf (Riß),Hochdorf
"http://dbpedia.org/resource/Hochdorf,_Esslingen",Hochdorf (bei Plochingen),Hochdorf
http://dbpedia.org/resource/Hranice_(Cheb_District),Hranice u Aše,Hranice
http://dbpedia.org/resource/Hranice_(České_Budějovice_District),Hranice u Nových Hradů,Hranice
http://dbpedia.org/resource/James_Parker_(Massachusetts),James Parker (Massachusetts),James Parker
"http://dbpedia.org/resource/Janów,_Podlaskie_Voivodeship",Janów (Powiat Sokólski),Janów
"http://dbpedia.org/resource/Janów,_Silesian_Voivodeship",Janów (Powiat Częstochowski),Janów
http://dbpedia.org/resource/Janów_Podlaski,Janów Podlaski,Janów Podlaski
"http://dbpedia.org/resource/Jussy,_Aisne",Jussy (Aisne),Jussy
"http://dbpedia.org/resource/Jussy,_Moselle",Jussy (Moselle),Jussy
http://dbpedia.org/resource/Kaeng_Krachan_National_Park,Nationalpark Kaeng Krachan,Kaeng Krachan National Park
http://dbpedia.org/resource/Kahl_Nuclear_Power_Plant,Kernkraftwerk Kahl,Kahl Nuclear Power Plant
http://dbpedia.org/resource/Kalinga_(India),Kalinga (Indien),Kalinga
http://dbpedia.org/resource/Kalinga_(province),Provinz Kalinga,Kalinga
http://dbpedia.org/resource/Kalinga_(province),Provinz Kalinga,Province of Kalinga
"http://dbpedia.org/resource/Kharan,_Pakistan",Kharan (Pakistan),Kharan
http://dbpedia.org/resource/Khatanga_Gulf,Chatangagolf,Khatanga Gulf
http://dbpedia.org/resource/Khatanga_Gulf,Chatangagolf,Хатангский залив
http://dbpedia.org/resource/Kisii_County,Kisii County,Kisii County
http://dbpedia.org/resource/Knightsbridge_tube_station,Knightsbridge (London Underground),Knightsbridge
"http://dbpedia.org/resource/La_Vallée,_Charente-Maritime",La Vallée (Charente-Maritime),La Vallée
http://dbpedia.org/resource/Lancang_Lahu_Autonomous_County,Lancang,Lancang Lahu Autonomous County
http://dbpedia.org/resource/Les_Anses-d'Arlet,Les Anses-d’Arlet,Les Anses-d'Arlet
"http://dbpedia.org/resource/Mandel,_Germany",Mandel (Gemeinde),Mandel
http://dbpedia.org/resource/Markt_Sankt_Martin,Markt Sankt Martin,Markt Sankt Martin
"http://dbpedia.org/resource/Marz,_Austria",Marz,Marz
http://dbpedia.org/resource/Melkite_Greek_Catholic_Eparchy_of_Saint-Sauveur_of_Montréal,Eparchie Saint-Sauveur de Montréal,Saint-Sauveur in Montréal (Melkite Greek)
http://dbpedia.org/resource/Melkite_Greek_Catholic_Eparchy_of_Saint-Sauveur_of_Montréal,Eparchie Saint-Sauveur de Montréal,Eparchia Sanctissimi Salvatoris Marianopolitansis Graecorum Melkitarum Catholicorum
"http://dbpedia.org/resource/Mermaid_Beach,_Queensland",Mermaid Beach,Mermaid Beach
